,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
3985,1674,152,12612,7704,-276,486,-61,0.16374828994270843,0.49782660654295274,-1.6447567969903631
3986,1677,64,12608,7568,-270,574,-76,-0.8963288704718219,-0.39890069379890497,-0.29982423580970435
3987,1680,156,12572,7460,-237,648,-118,1.2122491625708527,-1.0108128387415307,2.727479173715305
3988,1684,164,12520,7328,-233,679,-164,0.8459999812817564,0.47046124872702366,-2.3469870734530387
3989,1692,-672,12732,7244,-288,516,-102,-0.7782546170087573,0.16957824412287972,-0.8103610317200121
3990,1697,-628,12732,7160,-324,419,-75,-1.857782837771246,-1.0569669346960275,-0.7156750934726211
3991,1700,-680,12584,7104,-320,412,4,1.4873001358089675,-0.6708093998931334,-2.772865678497314
3992,1703,-564,12636,7228,-365,413,39,0.3564570962142439,0.3549696466321312,-2.174991145754719
3993,1706,-708,12452,7256,-390,319,117,-1.272911459284857,0.2391900913519817,-1.1591697168590984
3994,1710,-748,12612,7204,-403,227,145,-2.584652846834414,-0.5312083356690854,-0.9995315262002615
3995,1713,-912,12532,7208,-407,116,233,1.7160598129599582,-1.0426001096682627,-1.844440436115603
3996,1716,-672,12568,7328,-446,77,288,-0.09357563034806701,-0.31376456069703684,-2.3908091565293614
3997,1719,-268,12556,7388,-442,-4,297,-1.5138406153733097,0.28516711091465696,-1.8108357222284774
3998,1723,-272,12460,7488,-436,-17,327,-2.9407268978328718,-0.2553657750885472,-1.0750434070796655
3999,1726,-324,12524,7616,-390,-39,333,1.5825851462786427,-1.1047882913921279,-1.7209801837013488
4000,1729,72,12548,7804,-386,-13,331,-0.28584124265850114,-0.31502164068263716,-2.5098557197502402
4001,1732,184,12552,7720,-337,-14,283,-1.4490948454437114,0.29697823235365634,-1.8866256398049774
4002,1736,-64,12584,7748,-324,17,265,-2.6387394306256593,-0.14553114953407814,-1.1815922337598432
4003,1745,240,12576,7484,-219,104,129,2.6885623535914682,-0.6097370080321839,-1.5595925332319782
4004,1749,-76,12544,7544,-191,120,76,1.700698870576009,-0.4117312965865579,-2.1018842088839613
4005,1752,-64,12604,7560,-175,198,93,1.0331750337161891,0.34039582968810295,-2.2754216112971193
4006,1755,184,12524,7388,-183,260,57,-0.24684129664027266,0.9105378935474643,-1.3485742677901804
4007,1758,-44,12640,7392,-174,297,47,-1.4454174654305056,0.20304389418025465,-0.4315463907281773
4008,1761,-224,12608,7336,-202,220,1,-2.233580301127122,-0.5362235004801553,-0.630110311080319
4009,1764,-384,12608,7240,-203,204,44,2.698754023027311,-0.8742722051891849,-1.5009485086717722
4010,1768,-284,12532,7204,-242,238,29,1.5009193648370396,-0.21365018554810106,-2.0604456896160372
4011,1771,-204,12512,7220,-270,271,51,0.449961808024103,0.6129297620144173,-1.7062664838676531
4012,1774,20,12620,7340,-279,317,5,-1.0623331067665234,0.29009015882645256,-0.6359215649600343
4013,1777,-104,12552,7340,-305,332,-37,-2.1782268950217256,-0.72422496226621,-0.7979522653558436
4014,1780,-36,12644,7432,-325,338,-29,2.1019211457756057,-0.5703630889050737,-2.107499238873734
4015,1785,40,12556,7448,-291,341,-92,1.0778204432726692,0.4870407604472614,-1.855716765565231
4016,1788,20,12568,7436,-270,367,-91,-0.5978359890940017,0.48026243504311006,-0.5187506100451269
4017,1791,-188,12500,7468,-279,384,-85,-1.5590617041409116,-0.6757698531910986,-0.2131539241393691
4018,1794,-376,12548,7412,-265,394,-69,2.1664110873605504,-0.9337783531031617,-2.126616359585291
4019,1803,-588,12604,7264,-304,276,-2,1.0715942259706561,-0.0634942894459287,-2.1649083373284865
4020,1806,-240,12600,7324,-295,256,23,-0.102508982443483,0.40149653992031603,-1.4681946771890737
4021,1810,-84,12544,7248,-332,282,17,-1.3447361642341384,-0.1586188587472533,-0.7874395193842413
4022,1813,-88,12532,7296,-322,304,-6,-2.797613847050785,-0.9935841205031605,-1.330161703784865
4023,1816,-200,12496,7436,-304,308,-8,1.676024033274596,-0.394539408282587,-2.375039104040296
4024,1819,-112,12612,7392,-282,334,-22,0.6256926369326371,0.5457597193618637,-1.9029085472750071
4025,1822,-192,12600,7532,-268,332,-34,-0.8497286166397142,0.2904440920500869,-0.7708207455440217
4026,1827,-56,12520,7492,-268,357,-52,-1.776778602058474,-0.8243190058110721,-0.648335208500251
4027,1830,-96,12492,7400,-235,349,-71,2.1616579657487947,-0.8086635469129977,-2.446234627401455
4028,1833,-44,12568,7468,-222,365,-102,1.3655943602171248,0.38543060306967974,-2.353681636009792
4029,1836,-264,12512,7532,-196,366,-116,-0.2709521478019037,0.7521890483586053,-0.9027196217247846
4030,1840,-440,12552,7556,-182,322,-105,-1.1294905035332963,-0.22990639503454904,-0.31605196285569426
4031,1843,-268,12532,7500,-188,411,-97,-3.1399890138306183,-1.431172350978599,-1.7323546750484438
4032,1846,-136,12580,7436,-159,386,-88,1.617902301814616,-0.22301870736289478,-2.747486677119347
4033,1849,-100,12588,7456,-156,415,-108,0.6614901132225383,0.9055047831563614,-1.8773599108446577
4034,1858,-120,12592,7248,-186,346,-187,-0.7636412017976175,0.1376143493619862,-0.6440260784343488
4035,1862,-124,12564,7304,-207,337,-174,-1.5883066146860445,-1.0677916929804232,-0.7492486329041113
4036,1865,-232,12572,7272,-207,379,-186,2.0888773102795506,-0.5597474615752094,-2.851154408649146
4037,1869,-528,12520,7436,-220,373,-184,1.249737193505755,0.6636064937110738,-2.424854189966579
4038,1872,-696,12648,7332,-210,368,-123,-0.6470911362888903,0.6271339381598899,-0.8155873334126409
4039,1876,-620,12584,7360,-218,348,-96,-1.4721143749138317,-0.5014529745124291,-0.5537373670731408
4040,1879,-504,12636,7512,-216,349,-78,2.6820369938534414,-1.0989086379143422,-2.168607332115679
4041,1882,-396,12548,7504,-168,302,-45,1.68227495508692,-0.14314108459140337,-2.7183856186671655
4042,1886,-464,12628,7620,-175,297,-41,0.8641747750754778,0.7939740059265699,-2.281837750266123
4043,1889,-524,12552,7632,-142,248,-32,-0.6531197681312152,0.7681871822115512,-0.9903437153651402
4044,1892,-296,12520,7568,-114,264,0,-1.3080691294091729,-0.03235034015544749,-0.4467195714681598
4045,1895,-172,12716,7532,-112,222,-31,-1.7840126889838481,-0.8395466227589221,-0.5470888705573955
4046,1898,-192,12632,7428,-78,139,-77,-2.909755121834398,-1.0301630973087157,-1.5391387348020302
4047,1902,-212,12476,7332,-86,88,-53,2.6442979761633256,-0.7766818194490812,-2.036870996689891
4048,1911,-1048,12580,7284,-94,-141,51,2.9383501447720772,-1.1619846252370107,-1.2660840284406771
4049,1915,-668,12592,7072,-92,-127,124,-1.5055699824378546,-1.2470728834432256,0.9839746565639229
4050,1918,-748,12628,7080,-148,-169,138,-1.4686878110401633,-0.5648126022256155,1.696399326692372
4051,1921,-692,12652,6988,-195,-208,225,-1.959017324380953,0.05630821492150189,2.5569269883582497
4052,1925,-656,12668,6892,-267,-301,258,-2.96915289355058,0.011219907034022973,-2.5178645565365643
4053,1928,-708,12624,6956,-325,-362,286,2.782440141414597,-0.9919657249613315,-1.4782248809471052
4054,1931,-624,12596,7112,-385,-393,338,-1.3959708684128365,-0.7793097096005783,1.8633931304822051
4055,1934,-428,12548,7240,-379,-423,357,-2.236573718004246,0.1822716527304526,3.0468116696971292
4056,1938,-392,12524,7336,-390,-423,380,2.9634839045669046,-0.43847441212674015,-1.8910489614464958
4057,1941,-312,12624,7360,-382,-309,373,-0.7290122782321169,-1.3662320444446225,1.9004124057030012
4058,1944,-156,12548,7576,-350,-336,357,-1.4679090920572304,-0.057804544714711914,2.4601747249010213
4059,1948,-268,12620,7608,-315,-325,340,-2.752682001368343,0.2872940011804585,-2.520261111618503
4060,1951,-348,12616,7504,-294,-275,345,2.7224931951780937,-0.7840654847880805,-1.74671222192334
